Item,Quantity,Estimated Cost,Link,Already Owned?,Funding Requested?,Purpose,Notes
MECCANIXITY 2pcs 100RPM Micro Gear Motor with Encoder N20 DC6V,1 pack of 2,$21.00,https://www.amazon.com/MECCANIXITY-Encoder-Gearbox-Electric-Reduction/dp/B0FB9LDD4V,No,Yes,Main drive motors with encoders,100RPM 6V encoder motors for slow indoor driving; do not pick a 12V or no-encoder version.
KOOBOOK 2Pcs DRV8833 Motor Drive Module 1.5A Dual H Bridge DC Gear Motor Driver Controller Board,1 pack of 2,$5.99,https://www.amazon.com/KOOBOOK-DRV8833-Module-Bridge-Controller/dp/B07S7Z8CFL,No,Yes,Motor driver for the two N20 motors,Small dual H-bridge driver that fits this low-power robot better than an L298N.
MECCANIXITY Motor Mounting Bracket Motor Base 11.5mm Black with Screws Nuts for N20 Micro Gear Motor 4 Pack,1 pack of 4,$7.79,https://www.amazon.com/MECCANIXITY-Mounting-Bracket-11-5mm-Screws/dp/B09NN6J7H5,No,Yes,Mounts the N20 motors to the printed chassis,11.5mm motor brackets with screws and nuts; 4-pack gives spares.
3pcs ESP32-S3-DevKitC-1-N16R8 development boards,1 pack of 3,$18.99,https://www.amazon.com/ESP32-S3-DevKitC-1-N16R8-Development-Integrated-ESP32-S3-WROOM-1-Microcontroller/dp/B0DKF4DSQ4,No,Yes,"Low-level controller for encoders, PID, PWM motor control, safety stop, and telemetry",Use level shifting for any encoder or sensor signal that might be 5V.
HiLetgo 10pcs 4 Channel IIC I2C Logic Level Converter Bi-Directional 3.3V 5V,1 pack of 10,$7.49,https://www.amazon.com/HiLetgo-Channels-Converter-Bi-Directional-3-3V-5V/dp/B07F7W91LC,No,Yes,Protects ESP32-S3 3.3V pins from possible 5V signals,Needed unless the encoder outputs are measured and confirmed 3.3V-safe.
DAIERTEK 4 AA Battery Holder with Switch 6V with Leads,1 pack of 3,$8.39,https://www.amazon.com/DaierTek-Battery-Holder-Storage-Connector/dp/B09N1GDWQ9,No,Yes,Separate motor power source,4xAA holder with switch and leads; motor power stays separate from the Pi and ESP32-S3 logic power.
Hilitchi 360pcs M2 M3 M4 Male-Female Brass Spacer Standoff Screws Nuts Assortment Kit,1 kit,$16.99,https://www.amazon.com/Hilitchi-360pcs-Female-Standoff-Assortment/dp/B013ZWM1F6,No,Yes,"Mounts electronics, brackets, camera, and boards to the printed chassis","Standoffs and screws for the Pi, ESP32-S3, motor driver, brackets, and camera mount."
Geekworm X1200 2-Cell 18650 5.1V 5A UPS HAT for Raspberry Pi 5,1,$43.00,https://geekworm.com/products/x1200,No,Yes,Mobile power system for the Raspberry Pi 5,Bottom-mounted Pi 5 UPS with 5.1V 5A output and a 2-cell 18650 holder so the robot can move without a wall cable.
Samsung 30Q 18650 3000mAh 15A flat-top lithium-ion cells,2 cells,$13.98,https://www.18650batterystore.com/products/samsung-30q,No,Yes,Battery cells for the Raspberry Pi 5 UPS HAT,Use two new matching cells only; do not mix old/new cells or brands; check polarity and handle lithium-ion cells with adult supervision.
RecDec 4 Pack Mini Micro N20 Gear Motor Wheels Replacement 3mm Shaft D-Hole Rubber Tire Wheel,1 pack of 4,$7.97,https://www.amazon.com/RecDec-Replacement-Construction-Vehicle-Helicopter/dp/B0DZC4BP8Q,No,Yes,Wheels for the N20 motor shafts,4-pack of 43x19x3mm D-hole rubber wheels for N20 motors; price is estimated because no featured offer was visible during review.
Custom 3D-printed chassis/base plate,1,N/A,N/A,Yes,No,Physical robot base,Designed and printed by me; no acrylic sheet needed. CAD/STL files are included in cad/.
Custom 3D-printed passive front skid/support,1,N/A,N/A,Yes,No,Passive front support for the differential-drive chassis,Designed and printed by me; no ball caster needed. CAD/STL files are included in cad/.
Raspberry Pi 5,1,N/A,N/A,Yes,No,"Main computer for SLAM, mapping, and navigation",Already owned.
USB camera,1,N/A,N/A,Yes,No,Camera input for SLAM experiments,Already owned.
MPU6050 IMU module,1,N/A,N/A,Yes,No,Orientation and gyro feedback,Use the provided module only after label and I2C voltage-safety checks.
Raspberry Pi AI HAT+ 26 TOPS / Hailo-8,1,N/A,N/A,Yes,No,Future YOLO acceleration after base navigation works,Already owned; not required for the first navigation stack.
Arduino Uno,1,N/A,N/A,Yes,No,Backup controller only,Already owned; not used in the final architecture unless ESP32-S3 bring-up fails.
